SampleID,Absorbance,Concentration,Dilution,Test
std1,1.082,0,1,1
std1,1.052,0,1,1
std2,0.843,0.167,1,1
std2,0.84,0.167,1,1
std3,0.625,0.444,1,1
std3,0.63,0.444,1,1
std4,0.379,1.11,1,1
std4,0.416,1.11,1,1
std5,0.28,2.22,1,1
std5,0.296,2.22,1,1
std6,0.214,5.55,1,1
std6,0.218,5.55,1,1
NConl,0.489,,1,1
NConl,0.47,,1,1
T7_24,1.009,,1,1
T7_24,0.97,,1,1
RLS7_25,0.477,,1,1
RLS7_25,0.485,,1,1
RLS7_25,0.935,,10,1
RLS7_25,0.975,,10,1
T7_25,1.03,,1,1
T7_25,1.028,,1,1
RLA7_26,0.561,,1,1
RLA7_26,0.461,,1,1
RLS7_26,0.948,,10,1
RLS7_26,1.011,,10,1
T7_26,1.064,,1,1
T7_26,1.066,,1,1
RLS7_27,0.726,,1,1
RLS7_27,0.67,,1,1
RLS7_27,1.033,,10,1
RLS7_27,0.936,,10,1
T7_27,1.05,,1,1
T7_27,1.094,,1,1
RLS7_28,0.883,,1,1
RLS7_28,0.933,,1,1
RLS7_28,1.09,,10,1
RLS7_28,1.052,,10,1
T7_28,1.044,,1,1
T7_28,0.914,,1,1
RLS7_29,0.502,,1,1
RLS7_29,0.539,,1,1
RLS7_29,0.928,,10,1
RLS7_29,0.983,,10,1
T7_29,1.093,,1,1
T7_29,1.021,,1,1
RLS7_30,0.283,,1,1
RLS7_30,0.261,,1,1
RLS7_30,0.815,,10,1
RLS7_30,0.824,,10,1
RSW7_30,0.107,,1,1
RSW7_30,0.097,,1,1
RSW7_30,0.389,,10,1
RSW7_30,0.38,,10,1
RPLT7_30,0.185,,1,1
RPLT7_30,0.214,,1,1
RPLT7_30,0.693,,10,1
RPLT7_30,0.645,,10,1
FILT7_30,0.403,,1,1
FILT7_30,0.375,,1,1
CW7_30,1.027,,1,1
CW7_30,1.031,,1,1
T7_30,1.014,,1,1
T7_30,1.045,,1,1
TUL7_31,1.002,,1,1
TUL7_31,1.013,,1,1
TUL8_1,0.271,,1,1
TUL8_1,0.286,,1,1
std1,1.265,0,1,2
std1,1.153,0,1,2
std2,0.94,0.167,1,2
std2,0.856,0.167,1,2
std3,0.591,0.444,1,2
std3,0.643,0.444,1,2
std4,0.454,1.11,1,2
std4,0.442,1.11,1,2
std5,0.454,2.22,1,2
std5,0.447,2.22,1,2
std6,0.291,5.55,1,2
std6,0.29,5.55,1,2
NConl,0.614, ,1,2
NConl,0.682, ,1,2
T7_30,1.141, ,1,2
T7_30,1.12, ,1,2
R7_31,0.48, ,1,2
R7_31,0.476, ,1,2
R7_31,0.964, ,10,2
R7_31,0.943, ,10,2
T7_31,1.086, ,1,2
T7_31,1.125, ,1,2
R8_1,0.134, ,1,2
R8_1,0.117, ,1,2
R8_1,0.608, ,10,2
R8_1,0.63, ,10,2
CW8_1,1.035, ,1,2
CW8_1,1.148, ,1,2
CWUL8_1,0.35, ,1,2
CWUL8_1,0.275, ,1,2
T8_1,1.173, ,1,2
T8_1,0.95, ,1,2
TUL8_1,0.583, ,1,2
TUL8_1,0.392, ,1,2
T8_1B,1.011, ,1,2
T8_1B,1.105, ,1,2
TUL8_1B,0.502, ,1,2
TUL8_1B,0.349, ,1,2
std1,1.051,0,1,3
std1,1.143,0,1,3
std2,0.879,0.167,1,3
std2,0.936,0.167,1,3
std3,0.657,0.444,1,3
std3,0.662,0.444,1,3
std4,0.464,1.11,1,3
std4,0.429,1.11,1,3
std5,0.32,2.22,1,3
std5,0.35,2.22,1,3
std6,0.241,5.55,1,3
std6,0.263,5.55,1,3
NConl,0.548, ,1,3
NConl,0.511, ,1,3
T7_30,1.113, ,1,3
T7_30,1.043, ,1,3
R7_31,0.363, ,1,3
R7_31,0.401, ,1,3
R7_31,0.972, ,10,3
R7_31,0.99, ,10,3
T7_31,1.098, ,1,3
T7_31,1.136, ,1,3
R8_1,0.126, ,1,3
R8_1,0.109, ,1,3
R8_1,0.481, ,10,3
R8_1,0.475, ,10,3
CW8_1,1.115, ,1,3
CW8_1,1.015, ,1,3
CWUL8_1,0.251, ,1,3
CWUL8_1,0.269, ,1,3
T8_1,1.084, ,1,3
T8_1,1.038, ,1,3
TUL8_1,0.37, ,1,3
TUL8_1,0.38, ,1,3
T8_1B,0.99, ,1,3
T8_1B,1.02, ,1,3
TUL8_1B,0.334, ,1,3
TUL8_1B,0.363, ,1,3
std1,1.139,0,1,4
std1,1.05,0,1,4
std2,0.877,0.167,1,4
std2,0.914,0.167,1,4
std3,0.627,0.444,1,4
std3,0.705,0.444,1,4
std4,0.498,1.11,1,4
std4,0.495,1.11,1,4
std5,0.289,2.22,1,4
std5,0.321,2.22,1,4
std6,0.214,5.55,1,4
std6,0.231,5.55,1,4
NConl,0.472, ,1,4
NConl,0.497, ,1,4
AL,1.134,,1,4
AL,1.048,,1,4
AUL,0.624,,1,4
AUL,0.7,,1,4
AD,0.756,,1,4
AD,0.639,,1,4
BL,1.14,,1,4
BL,1.109,,1,4
BUL,0.521,,1,4
BUL,0.46,,1,4
BD,0.44,,1,4
BD,0.482,,1,4
CL,0.795,,1,4
CL,0.826,,1,4
CUL,0.795,,1,4
CUL,0.823,,1,4
CD,0.909,,1,4
CD,0.842,,1,4
DL,1.149,,1,4
DL,1.116,,1,4
DUL,0.526,,1,4
DUL,0.466,,1,4
DD,0.493,,1,4
DD,0.473,,1,4
EL,1.101,,1,4
EL,1.049,,1,4
EUL,0.471,,1,4
EUL,0.495,,1,4
ED,0.474,,1,4
ED,0.536,,1,4
FL,1.145,,1,4
FL,1.069,,1,4
FUL,0.618,,1,4
FUL,0.58,,1,4
FD,0.613,,1,4
FD,0.62,,1,4
GL,0.787,,1,4
GL,0.834,,1,4
GUL,0.719,,1,4
GUL,0.818,,1,4
GD,0.815,,1,4
GD,0.772,,1,4
HL,1.028,,1,4
HL,1.075,,1,4
HUL,0.517,,1,4
HUL,0.509,,1,4
HD,0.514,,1,4
HD,0.518,,1,4
IL,1.001,,1,4
IL,1.052,,1,4
IUL,0.267,,1,4
IUL,0.284,,1,4
ID,0.313,,1,4
ID,0.316,,1,4
JL,0.764,,1,4
JL,0.784,,1,4
JUL,0.486,,1,4
JUL,0.478,,1,4
JD,0.429,,1,4
JD,0.443,,1,4
KL,0.985,,1,4
KL,0.968,,1,4
KUL,0.57,,1,4
KUL,0.604,,1,4
KD,0.622,,1,4
KD,0.571,,1,4
LL,1.068,,1,4
LL,1.078,,1,4
LUL,1.074,,1,4
LUL,0.951,,1,4
LD,1.092,,1,4
LD,1.145,,1,4
ML,1.136,,1,4
ML,1.084,,1,4
MUL,0.905,,1,4
MUL,1.003,,1,4
MD,1.017,,1,4
MD,1.071,,1,4
std1,1.153,0,1,5
std1,1.149,0,1,5
std2,0.947,0.167,1,5
std2,0.896,0.167,1,5
std3,0.627,0.444,1,5
std3,0.656,0.444,1,5
std4,0.465,1.11,1,5
std4,0.435,1.11,1,5
std5,0.33,2.22,1,5
std5,0.328,2.22,1,5
std6,0.218,5.55,1,5
std6,0.226,5.55,1,5
NConl,0.494, ,1,5
NConl,0.518, ,1,5
NL,1.098,,1,5
NL,1.078,,1,5
NUL,0.543,,1,5
NUL,0.601,,1,5
ND,0.616,,1,5
ND,0.638,,1,5
OL,1.016,,1,5
OL,1.064,,1,5
OUL,0.672,,1,5
OUL,0.686,,1,5
OD,0.644,,1,5
OD,0.679,,1,5
PL,1.066,,1,5
PL,1.07,,1,5
PUL,0.446,,1,5
PUL,0.395,,1,5
PD,0.447,,1,5
PD,0.397,,1,5
QL,1.019,,1,5
QL,1.039,,1,5
QUL,0.34,,1,5
QUL,0.367,,1,5
QD,0.389,,1,5
QD,0.372,,1,5
RL,1.062,,1,5
RL,0.994,,1,5
RUL,0.518,,1,5
RUL,0.578,,1,5
RD,0.495,,1,5
RD,0.522,,1,5
SL,1.099,,1,5
SL,1.137,,1,5
SUL,0.525,,1,5
SUL,0.504,,1,5
SD,0.475,,1,5
SD,0.55,,1,5
TL,0.993,,1,5
TL,1.096,,1,5
TUL,0.475,,1,5
TUL,0.529,,1,5
TD,0.568,,1,5
TD,0.558,,1,5
UL,1.054,,1,5
UL,1.075,,1,5
UUL,0.653,,1,5
UUL,0.645,,1,5
UD,0.677,,1,5
UD,0.669,,1,5
VL,1.015,,1,5
VL,1.029,,1,5
VUL,0.461,,1,5
VUL,0.46,,1,5
VD,0.51,,1,5
VD,0.491,,1,5
WL,1.028,,1,5
WL,1.081,,1,5
WUL,0.496,,1,5
WUL,0.473,,1,5
WD,0.48,,1,5
WD,0.558,,1,5
XL,1.116,,1,5
XL,0.992,,1,5
XUL,0.556,,1,5
XUL,0.502,,1,5
XD,0.543,,1,5
XD,0.523,,1,5
YL,1.019,,1,5
YL,1.012,,1,5
YUL,0.598,,1,5
YUL,0.551,,1,5
YD,0.63,,1,5
YD,0.655,,1,5
ZL,1.114,,1,5
ZL,1.097,,1,5
ZUL,0.546,,1,5
ZUL,0.51,,1,5
ZD,0.576,,1,5
ZD,0.534,,1,5
std1,1.124,0,1,6
std1,1.109,0,1,6
std2,0.879,0.167,1,6
std2,0.838,0.167,1,6
std3,0.61,0.444,1,6
std3,0.611,0.444,1,6
std4,0.421,1.11,1,6
std4,0.428,1.11,1,6
std5,0.297,2.22,1,6
std5,0.308,2.22,1,6
std6,0.19,5.55,1,6
std6,0.203,5.55,1,6
NConl,0.453, ,1,6
NConl,0.441, ,1,6
AAL,1.008,,1,6
AAL,1.011,,1,6
AAUL,0.78,,1,6
AAUL,0.878,,1,6
AAD,0.852,,1,6
AAD,0.776,,1,6
ABL,1.024,,1,6
ABL,0.995,,1,6
ABUL,0.452,,1,6
ABUL,0.414,,1,6
ABD,0.454,,1,6
ABD,0.498,,1,6
ACL,0.979,,1,6
ACL,1.098,,1,6
ACUL,0.633,,1,6
ACUL,0.593,,1,6
ACD,0.65,,1,6
ACD,0.612,,1,6
ADL,1.061,,1,6
ADL,1.079,,1,6
ADUL,0.454,,1,6
ADUL,0.443,,1,6
ADD,0.479,,1,6
ADD,0.484,,1,6
AEL,1.086,,1,6
AEL,1.032,,1,6
AEUL,0.686,,1,6
AEUL,0.736,,1,6
AED,0.655,,1,6
AED,0.751,,1,6
AFL,1.168,,1,6
AFL,1.177,,1,6
AFUL,0.929,,1,6
AFUL,0.904,,1,6
AFD,0.934,,1,6
AFD,0.992,,1,6
AGL,1.099,,1,6
AGL,1.164,,1,6
AGUL,0.517,,1,6
AGUL,0.565,,1,6
AGD,0.519,,1,6
AGD,0.521,,1,6
AHL,1.088,,1,6
AHL,1.161,,1,6
AHUL,0.527,,1,6
AHUL,0.57,,1,6
AHD,0.537,,1,6
AHD,0.537,,1,6
AIL,1.107,,1,6
AIL,1.105,,1,6
AIUL,0.783,,1,6
AIUL,0.843,,1,6
AID,0.878,,1,6
AID,0.915,,1,6
AJL,1.13,,1,6
AJL,1.106,,1,6
AJUL,0.871,,1,6
AJUL,0.8,,1,6
AJD,0.844,,1,6
AJD,0.937,,1,6
AKL,1.05,,1,6
AKL,1.014,,1,6
AKUL,0.742,,1,6
AKUL,0.737,,1,6
AKD,0.735,,1,6
AKD,0.696,,1,6
ALL,1.014,,1,6
ALL,1.031,,1,6
ALUL,0.765,,1,6
ALUL,0.759,,1,6
ALD,0.671,,1,6
ALD,0.658,,1,6
AML,0.995,,1,6
AML,1.024,,1,6
AMUL,0.437,,1,6
AMUL,0.435,,1,6
AMD,0.437,,1,6
AMD,0.421,,1,6
