site,group,type,Depth ,Area,Volume,Chla,TP,prec,T,iron,Lon,Lat
dongshanhu,L1,L,3,0.21,0.006,175.82,124,321.7,28.5,4.4,113.29,23.12
huizhouxihu,L1,L,1.5,1.68,0.03,23.53,66,45,19,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,26.28,60,159,26.5,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,25.33,53,166,28,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,23.1,55,22,21.5,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,23.53,58,45,19,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,26.04,51,159,26.5,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,25.8,58,166,28,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,22.27,49,22,21.5,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,24.64,66,45,19,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,28.82,57,159,26.5,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,27.27,59,166,28,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,23.97,56,22,21.5,4.4,114.4,23.09
jiangmendonghu,L1,L,2.1,0.17,0.004,68.95,71,210.4,28.5,4.4,113.08,22.59
liuhuahu,L1,L,1.9,0.33,0.006,148.9,122,321.7,28.5,4.4,113.25,23.14
liwanhu,L1,L,1.6,0.14,0.002,87.65,50,321.7,28.5,4.4,113.23,23.12
luhu,L1,L,2.4,0.21,0.005,87.2,89,321.7,28.5,4.4,113.28,23.15
nanningnanhu,L1,L,1.5,0.93,0.014,12.42,115,2.1,20.3,4.4,108.36,22.81
nanningnanhu,L1,L,1.5,0.93,0.014,24.84,131,114.3,22.2,4.4,108.36,22.81
nanningnanhu,L1,L,1.5,0.93,0.014,11.29,177,149.6,25,4.4,108.36,22.81
nanningnanhu,L1,L,1.5,0.93,0.014,9.03,162,150.6,27.8,4.4,108.36,22.81
nanningnanhu,L1,L,1.5,0.93,0.014,15.24,169,241.2,28.3,4.4,108.36,22.81
nanningnanhu,L1,L,1.5,0.93,0.014,15.24,308,125.1,28.8,4.4,108.36,22.81
nanningnanhu,L1,L,1.5,0.93,0.014,20.89,154,42.8,27.9,4.4,108.36,22.81
nanningnanhu,L1,L,1.5,0.93,0.014,15.24,138,75.1,24,4.4,108.36,22.81
panlongtianhu,L1,L,2.2,0.15,0.003,252.22,158,170.3,29,4.4,112.05,22.94
shenzhenhonghu,L1,L,1.8,0.27,0.005,26.32,51,296.1,27.9,4.4,114.12,22.57
sihu,L1,L,2,0.39,0.008,1.09,83,52.3,29.2,4.4,110.29,25.29
sihu,L1,L,2,0.39,0.008,11.54,87,52.3,29.2,4.4,110.29,25.29
xinhu,L1,L,2.3,6.24,0.145,25.13,19,220,29,4.4,112.38,23.1
xinhu,L1,L,2.3,6.24,0.145,10.63,26,222,28.5,4.4,112.38,23.1
xinhu,L1,L,2.3,6.24,0.145,25,22,41,18.5,4.4,112.38,23.1
yixianhu,L1,L,1.8,0.1,0.002,166.97,86,288.6,28,4.4,113.37,22.53
yuanyanghu,L1,L,2,0.47,0.01,24.35,24,366.8,27.3,4.4,111.99,21.86
changqiaohai,L2,L,3.7,10.7,0.4,33.21,52,168.3,25,5.22,103.37,23.42
datunhai,L2,L,3.7,12.3,0.45,76.07,263,168.3,25,5.22,103.3,23.42
dianchi,L2,L,2.9,297.9,11.69,0.9,243,114.9,20.6,5.22,102.68,24.85
dianchi,L2,L,2.9,297.9,11.69,58.93,135,206.1,19.6,5.22,102.68,24.85
qiluhu,L2,L,4,36.9,1.49,60,30,89,21,5.22,102.77,24.17
qiluhu,L2,L,4,36.9,1.49,120,90,99,20.5,5.22,102.77,24.17
xingyunhu,L2,L,5.3,34.7,1.84,47.14,175,167.4,20.8,5.22,102.77,24.33
xingyunhu,L2,L,5.3,34.7,1.84,50,50,99,20.5,5.22,102.77,24.33
yilonghu,L2,L,2.8,38,1.05,12.86,48,168.3,25,5.22,102.57,23.67
chenghai,L2,L,25.7,77.2,19.87,9.09,33,167,19,5.22,100.65,26.55
chenghai,L2,L,25.7,77.2,19.87,23.38,27,245,19,5.22,100.65,26.55
chenghai,L2,L,25.7,77.2,19.87,28.57,36,216,18.5,5.22,100.65,26.55
chenghai,L2,L,25.7,77.2,19.87,8.57,36,70.8,20,5.22,100.65,26.55
erhai,L2,L,10.2,249,25.31,7.1,41,220,20,5.22,100.2,25.78
erhai,L2,L,10.2,249,25.31,7.54,39,158,18.5,5.22,100.2,25.78
erhai,L2,L,10.2,249,25.31,10,44,61,23,5.22,100.2,25.78
fuxianhu,L2,L,89.6,211,189,3,36,167.4,20.8,5.22,102.88,24.45
qionghai,L2,L,10.3,31,3.2,2.5,28,221,22.2,5.22,102.3,27.82
qionghai,L2,L,10.3,31,3.2,11.04,11,126.6,20.6,5.22,102.3,27.82
qionghai,L2,L,10.3,31,3.2,12.69,23,169.3,21.8,5.22,102.3,27.82
yangzonghai,L2,L,19.5,31.7,6.17,3.73,76,51.6,19.8,5.22,102.98,24.9
yangzonghai,L2,L,19.5,31.7,6.17,1.79,60,153.8,20.6,5.22,102.98,24.9
yangzonghai,L2,L,19.5,31.7,6.17,1.79,39,90.8,21.3,5.22,102.98,24.9
yangzonghai,L2,L,19.5,31.7,6.17,4.67,70,169.7,20.6,5.22,102.98,24.9
yangzonghai,L2,L,19.5,31.7,6.17,7.39,50,28.3,20.1,5.22,102.98,24.9
yangzonghai,L2,L,19.5,31.7,6.17,6.46,51,9.1,18.5,5.22,102.98,24.9
yangzonghai,L2,L,19.5,31.7,6.17,2,56,206.1,19.6,5.22,102.98,24.9
caohai,L2,L,2.4,25,0.6,4.29,32,200,21.5,5.22,104.25,26.85
caohai,L2,L,2.4,25,0.6,4.45,49,172,20.7,5.22,104.25,26.85
caohai,L2,L,2.4,25,0.6,12.7,29,154,22,5.22,104.25,26.85
baidanghu,L5,L,3,40.3,1.21,2.1,49,196.6,23.7,3.21,117.39,30.81
caizihu,L5,L,2.4,166,4,2.9,48,196.6,23.7,3.21,117.08,30.8
changdanghu,L5,L,1.1,81.9,0.9,56.36,100,50.5,22,3.21,119.55,31.6
changdanghu,L5,L,1.1,81.9,0.9,67.27,146,277.1,28.4,3.21,119.55,31.6
changdanghu,L5,L,1.1,81.9,0.9,50.91,169,132.5,24.1,3.21,119.55,31.6
chaohu,L5,L,2.7,775,20.7,22.18,130,72.5,23.5,3.21,117.58,31.52
chaohu,L5,L,2.7,775,20.7,78.37,180,203.8,24.2,3.21,117.58,31.52
chaohu,L5,L,2.7,775,20.7,85.09,190,162.3,28.7,3.21,117.58,31.52
chaohu,L5,L,2.7,775,20.7,36.86,230,177.7,27.3,3.21,117.58,31.52
chaohu,L5,L,2.7,775,20.7,22.99,170,119.4,21.9,3.21,117.58,31.52
chaohu,L5,L,2.7,775,20.7,46.71,140,160.2,27.1,3.21,117.58,31.52
chaohu,L5,L,2.7,775,20.7,41.25,110,128.6,28.6,3.21,117.58,31.52
daguanhu  ,L5,L,1.3,261,3.4,6.64,209,105.6,21.9,3.21,116.35,29.98
dongtinghu,L5,L,6,3133,188,5.03,70,238,26,3.21,112.95,29.31
gaoyouhu,L5,L,4,648,25,4.47,51,269.5,29.1,3.21,119.34,32.88
hangzhouxihu,L5,L,2.2,6.3,0.14,33.51,189,7.5,21.9,3.21,120.14,30.25
hangzhouxihu,L5,L,2.2,6.3,0.14,33.51,42,32.8,23.7,3.21,120.14,30.25
hangzhouxihu,L5,L,2.2,6.3,0.14,47.53,68,178.6,25.3,3.21,120.14,30.25
hangzhouxihu,L5,L,2.2,6.3,0.14,50.65,111,122.7,30.7,3.21,120.14,30.25
hangzhouxihu,L5,L,2.2,6.3,0.14,38.96,113,60.3,29.9,3.21,120.14,30.25
hangzhouxihu,L5,L,2.2,6.3,0.14,38.18,74,215.9,24.4,3.21,120.14,30.25
hongzehu,L5,L,2,1597,30.4,17.3,64,45.4,20.2,3.21,118.76,33.34
hongzehu,L5,L,2,1597,30.4,20.1,95,202.2,28.2,3.21,118.76,33.34
huanghu,L5,L,1.5,45.5,0.7,4.98,224,105.6,21.9,3.21,116.52,29.99
huangjiahu,L5,L,1.2,8.18,0.1,48,69,36.1,18.3,3.21,114.28,30.44
huangjiahu,L5,L,1.2,8.18,0.1,106.11,139,76.8,22,3.21,114.28,30.44
huangjiahu,L5,L,1.2,8.18,0.1,128.84,139,433.9,25.1,3.21,114.28,30.44
huangjiahu,L5,L,1.2,8.18,0.1,101.05,139,89.4,28.9,3.21,114.28,30.44
huangjiahu,L5,L,1.2,8.18,0.1,80.84,139,133.8,27.1,3.21,114.28,30.44
huangjiahu,L5,L,1.2,8.18,0.1,75.79,145,59.4,22.4,3.21,114.28,30.44
jinzhouhonghu,L5,L,1.4,348.2,4.7,3.19,51,126,28,3.21,113.33,29.83
jinzhouhonghu,L5,L,1.4,348.2,4.7,3.38,53,75,18.5,3.21,113.33,29.83
jinzhouhonghu,L5,L,1.4,348.2,4.7,2.14,40,144,22,3.21,113.33,29.83
jinzhouhonghu,L5,L,1.4,348.2,4.7,2.34,42,160,26,3.21,113.33,29.83
jinzhouhonghu,L5,L,1.4,348.2,4.7,2.77,47,163,28.5,3.21,113.33,29.83
jiuliantang,L5,L,4,648,25,28.13,64,232.6,28.8,3.21,119.34,32.88
jiuliantang,L5,L,4,648,25,39.38,36,233.4,27.7,3.21,119.34,32.88
jiuliantang,L5,L,4,648,25,20.63,36,33.5,18.1,3.21,119.34,32.88
jiuliantang,L5,L,4,648,25,24.38,36,42.4,18.8,3.21,119.34,32.88
jiuliantang,L5,L,4,648,25,43.13,36,121.8,22.2,3.21,119.34,32.88
jiuliantang,L5,L,4,648,25,43.13,36,59.1,26.2,3.21,119.34,32.88
kunchenghu,L5,L,1.7,17.9,0.31,33.6,255,155.6,23.6,3.21,120.75,31.6
kunchenghu,L5,L,1.7,17.9,0.31,6.1,116,133.4,29.5,3.21,120.75,31.6
liuyehu,L5,L,2,21.8,0.4,8.81,50,300,27.7,3.21,111.76,29.07
longganhu ,L5,L,1.8,25,0.45,7.13,321,105.6,21.9,3.21,116.15,29.94
pohu,L5,L,3.5,217.1,9.9,6.85,46,105.6,21.9,3.21,116.54,30.19
poyanghu,L5,L,6,4600,276,1,50,44.5,23.2,3.21,116.22,29.17
poyanghu,L5,L,6,4600,276,10.58,70,88.7,29.3,3.21,116.22,29.17
qilihu,L5,L,1.6,46,0.74,10.39,161,55.8,21.3,3.21,116.9,30.51
shengjinhu,L5,L,3.4,132.8,3.45,4.85,91,23.5,21.9,3.21,117.1,30.4
shimenhu,L5,L,3,6.67,0.2,3.5,121,111.7,23.7,3.21,116.98,30.53
taihu,L5,L,1.9,2338,44.28,10.53,70,74.2,21.2,3.21,120.15,31.17
taihu,L5,L,1.9,2338,44.28,18.95,93,289.2,29.4,3.21,120.15,31.17
taihu,L5,L,1.9,2338,44.28,23.16,533,88.9,23.2,3.21,120.15,31.17
taihu,L5,L,1.9,2338,44.28,9.47,140,41.8,23.3,3.21,120.15,31.17
taihu,L5,L,1.9,2338,44.28,34.74,190,338.2,29.5,3.21,120.15,31.17
taihu,L5,L,1.9,2338,44.28,17.89,100,152.8,24.3,3.21,120.15,31.17
taihu,L5,L,1.9,2338,44.28,8.42,100,115.8,22.3,3.21,120.15,31.17
taihu,L5,L,1.9,2338,44.28,11.58,70,133.3,28.6,3.21,120.15,31.17
taihu,L5,L,1.9,2338,44.28,15.79,80,87.6,24.5,3.21,120.15,31.17
tangxunhu,L5,L,3.1,36.6,1.15,12.63,63,36.1,18.3,3.21,114.36,30.42
tangxunhu,L5,L,3.1,36.6,1.15,22.74,82,76.8,22,3.21,114.36,30.42
tangxunhu,L5,L,3.1,36.6,1.15,12.63,133,433.9,25.1,3.21,114.36,30.42
tangxunhu,L5,L,3.1,36.6,1.15,12.63,95,89.4,28.9,3.21,114.36,30.42
tangxunhu,L5,L,3.1,36.6,1.15,10.11,136,133.8,27.1,3.21,114.36,30.42
tangxunhu,L5,L,3.1,36.6,1.15,27.79,129,59.4,22.4,3.21,114.36,30.42
tingtanghu ,L5,L,2,33,0.6,21.56,64,232.6,28.8,3.21,118.39,31.37
tingtanghu ,L5,L,2,33,0.6,27.19,36,233.4,27.7,3.21,118.39,31.37
tingtanghu ,L5,L,2,33,0.6,30,54,33.5,18.1,3.21,118.39,31.37
tingtanghu ,L5,L,2,33,0.6,37.5,36,42.4,18.8,3.21,118.39,31.37
tingtanghu ,L5,L,2,33,0.6,28.13,89,121.8,22.2,3.21,118.39,31.37
tingtanghu ,L5,L,2,33,0.6,24.38,107,59.1,26.2,3.21,118.39,31.37
wabenghu,L5,L,1.4,156,2.2,10.9,36,169.1,27,3.21,117.02,32.4
wuchanghu,L5,L,6,350,21,3,39,51.9,23.7,3.21,116.66,30.27
xizihu,L5,L,3,50,1.5,2.5,62,196.6,23.7,3.21,117.07,30.8
xuanhuhu,L5,L,1.4,3.68,0.05,26.44,580,90.9,21.2,3.21,118.8,32.07
xuanhuhu,L5,L,1.4,3.68,0.05,71.88,417,155.7,26.5,3.21,118.8,32.07
xuanhuhu,L5,L,1.4,3.68,0.05,92.7,533,248.2,28.7,3.21,118.8,32.07
xuanhuhu,L5,L,1.4,3.68,0.05,120.8,104,106.7,29.5,3.21,118.8,32.07
xuanhuhu,L5,L,1.4,3.68,0.05,55.46,70,72.4,22.5,3.21,118.8,32.07
xuanhuhu,L5,L,1.4,3.68,0.05,42.64,116,9.3,20.3,3.21,118.8,32.07
yangchenghu,L5,L,1.5,118.9,1.73,34,151,98,22.4,3.21,120.08,31.43
yangchenghu,L5,L,1.5,118.9,1.73,20,278,4.6,21.2,3.21,120.08,31.43
yaohu,L5,L,2.5,15.25,0.38,19.38,110,404.3,25,3.21,116.08,28.72
yaohu,L5,L,2.5,15.25,0.38,31.94,260,144.1,30.4,3.21,116.08,28.72
yaohu,L5,L,2.5,15.25,0.38,39.68,140,63.1,30.7,3.21,116.08,28.72
yaohu,L5,L,2.5,15.25,0.38,6.16,60,143.5,18.5,3.21,116.08,28.72
yezhihu,L5,L,2,1.62,0.032,116.21,123,36.1,18.3,3.21,114.34,30.47
yezhihu,L5,L,2,1.62,0.032,222.32,202,76.8,22,3.21,114.34,30.47
yezhihu,L5,L,2,1.62,0.032,65.68,177,433.9,25.1,3.21,114.34,30.47
yezhihu,L5,L,2,1.62,0.032,60.63,251,89.4,28.9,3.21,114.34,30.47
yezhihu,L5,L,2,1.62,0.032,55.58,196,133.8,27.1,3.21,114.34,30.47
yezhihu,L5,L,2,1.62,0.032,40.42,145,59.4,22.4,3.21,114.34,30.47
 daotunwa,L6,L,0.4,8,0.03,54.75,114,186.7,25.6,2.89,116.39,35.96
baiyangding,L6,L,3.9,336,13.2,15,112,32,21,2.89,116.05,38.87
baiyangding,L6,L,3.9,336,13.2,50,174,150,25.5,2.89,116.05,38.87
baiyunhu,L6,L,1.2,17.4,0.2,10.03,22,186.7,25.6,2.89,117.4,36.85
daihai,L6,L,6,121,7.26,3.43,60,18.4,23.6,2.89,112.7,40.58
daihai,L6,L,6,121,7.26,4,72,109,20,2.89,112.7,40.58
daminghu,L6,L,2.2,0.46,0.01,258.82,439,147.4,20.8,2.89,117.02,36.68
daminghu,L6,L,2.2,0.46,0.01,300,439,198.6,24.5,2.89,117.02,36.68
daminghu,L6,L,2.2,0.46,0.01,317.65,818,386.6,26.4,2.89,117.02,36.68
daminghu,L6,L,2.2,0.46,0.01,247.06,515,182.4,24.6,2.89,117.02,36.68
daminghu,L6,L,2.2,0.46,0.01,105.88,303,71.6,21.9,2.89,117.02,36.68
dongpinghu,L6,L,1.1,124,1.3,15.33,30,107.6,25,2.89,116.2,35.96
hengshuihu,L6,L,2.5,75,1.88,8.6,20,34,21.5,2.89,115.59,37.61
hengshuihu,L6,L,2.5,75,1.88,10.6,37,56,26,2.89,115.59,37.61
hengshuihu,L6,L,2.5,75,1.88,16,41,152,27.4,2.89,115.59,37.61
hengshuihu,L6,L,2.5,75,1.88,17,71,129,26,2.89,115.59,37.61
hengshuihu,L6,L,2.5,75,1.88,12.2,44,51,21.5,2.89,115.59,37.61
matahu,L6,L,0.6,53.6,0.3,125.38,345,148.3,26.9,2.89,118.07,37.07
mingcuihu,L6,L,2,3,0.06,11.29,91,13.9,24.8,2.89,106.38,38.4
muye,L6,L,4,0.09,0.0036,22.58,65,59,26.5,2.89,113.92,35.31
muye,L6,L,4,0.09,0.0036,225.81,1387,43,21,2.89,113.92,35.31
muye,L6,L,4,0.09,0.0036,143.01,65,72,27.5,2.89,113.92,35.31
muye,L6,L,4,0.09,0.0036,79.03,1645,161,27.5,2.89,113.92,35.31
muye,L6,L,4,0.09,0.0036,293.55,1903,128,26.5,2.89,113.92,35.31
nansihu,L6,L,4.2,1266,53.6,63,168,259.1,25.4,2.89,117.2,34.6
qilihai,L6,L,1,56.5,0.8,52.06,290,62.3,27.7,2.89,117.59,39.3
shahu,L6,L,2.2,8.2,0.18,23.03,222,13.9,24.8,2.89,106.36,38.82
shengtianhu,L6,L,1,4,0.04,2.21,30,50,20.5,2.89,110.91,34.71
shengtianhu,L6,L,1,4,0.04,3.14,40,84,26.5,2.89,110.91,34.71
wuliangsuhai,L6,L,1,293,3,66.1,120,41.6,24.5,2.89,108.84,40.83
yunlonghu,L6,L,1.5,6.76,0.1014,32.98,359,65.5,20.6,2.89,117.15,34.25
chaganhu,L7,L,0.2,265.8,0.45,38,140,60,23,2.835,124.28,45.25
hulunhu,L7,L,5.7,2339,133,1.67,100,42.6,22.8,2.835,117.39,48.96
talahongpao,L7,L,2,8.4,0.168,3.91,800,140,22.4,2.835,123.93,45.63
xingkaihu,L7,L,4.5,4190,189,46,181,109.5,18.1,2.835,132.42,45
xingkaihu,L7,L,4.5,4190,189,0.4,60,45.4,22.6,2.835,132.42,45
xingkaihu,L7,L,4.5,4190,189,18,242,70.9,21.6,2.835,132.42,45
xingkaihu,L7,L,4.5,4190,189,7.6,150,193,22.2,2.835,132.42,45
xinmiaopao,L7,L,2,31,0.62,37.94,130,71.8,22.5,2.835,124.45,45.2
baihualin,R1,R,10.5,0.95,0.1,26.1,20,164.9,29.6,4.4,113.8,23.32
baihualin,R1,R,10.5,0.95,0.1,50,40,19,19.2,4.4,113.8,23.32
baipenzhu,R1,R,24.1,49.7,12,1.34,20,252,29,4.4,115.03,23.08
tiantangshan,R1,R,15,16,2.43,4.78,15,200,29,4.4,114.15,23.81
xiangang,R1,R,9,16,1.38,29.23,33,150,28.5,4.4,114.12,23.29
dashahe,R1,R,10,16.3,1.57,20,40,63,19,4.4,112.43,22.55
dashahe,R1,R,10,16.3,1.57,32.5,33,119,23,4.4,112.43,22.55
dashahe,R1,R,10,16.3,1.57,22.5,25,181,26,4.4,112.43,22.55
dashahe,R1,R,10,16.3,1.57,40,32,245,28,4.4,112.43,22.55
dashahe,R1,R,10,16.3,1.57,20,25,223,29,4.4,112.43,22.55
dashahe,R1,R,10,16.3,1.57,12.5,22,249,28.5,4.4,112.43,22.55
dashahe,R1,R,10,16.3,1.57,10,17,154,27.5,4.4,112.43,22.55
dashahe,R1,R,10,16.3,1.57,15,17,45,25.5,4.4,112.43,22.55
dashahe,R1,R,10,16.3,1.57,75,28,22,21,4.4,112.43,22.55
zhenhai,R1,R,6,18,1.1,90.64,52,225,28,4.4,112.55,22.57
dalongdong,R1,R,20,14.67,2.99,4.87,17,225,28,4.4,112.66,21.99
enpingjinjiang,R1,R,3.6,362,11.13,2.54,9,225,28,4.4,22.23,113.08
tangxi,R1,R,18,21,3.78,27.75,63,100,29,4.4,116.87,23.92
longjing,R1,R,17,10,1.66,34,4,200,29,4.4,116.06,23.68
shiliutan,R1,R,19,6,1.17,7.33,28,200,29,4.4,116.14,23.09
longtan,R1,R,13,10,1.34,4.79,24,200,29,4.4,115.9,23.12
dashuiqiao,R1,R,6.4,14,0.9,19.77,20,169,29.5,4.4,110.18,20.34
dashuiqiao,R1,R,6.4,14,0.9,28.71,49,27,19.5,4.4,110.18,20.34
feilaixia,R1,R,21.1,90,19,2.23,10,150,30,4.4,113.26,23.8
baishiyao,R1,R,6,17.89,1.05,16.23,66,200,29,4.4,113.43,24.31
changhushuiku,R1,R,8,16,1.23,8.26,22,200,29,4.4,112.22,22
fengshuba,R1,R,63.2,30.05,19,0.8,10,218,29,4.4,115.36,24.41
furongzhang,R1,R,13.1,1.68,0.22,2.5,10,164.9,29.6,4.4,113.23,23.5
furongzhang,R1,R,13.1,1.68,0.22,6.8,10,19,19.2,4.4,113.23,23.5
gaozhou,R1,R,19,58.49,11,7.96,15,120,24,4.4,111.02,22.05
