site,group,type,Depth ,Area,Volume,Chla,TP,prec,T,iron,Lon,Lat
gaozhou,R1,R,19,58.49,11,2.08,15,212,27,4.4,111.02,22.05
gaozhou,R1,R,19,58.49,11,2.08,14,268,28.5,4.4,111.02,22.05
gaozhou,R1,R,19,58.49,11,1.84,10,201,29,4.4,111.02,22.05
gaozhou,R1,R,19,58.49,11,1.59,29,170,29,4.4,111.02,22.05
gaozhou,R1,R,19,58.49,11,2.33,14,88,28,4.4,111.02,22.05
gaozhou,R1,R,19,58.49,11,4.04,14,37,25.5,4.4,111.02,22.05
gaozhou,R1,R,19,58.49,11,2.2,17,20,21.5,4.4,111.02,22.05
gaozhou,R1,R,19,58.49,11,0.73,27,55,20,4.4,111.02,22.05
luokeng,R1,R,24,4.67,1.15,2.63,9,200,29,4.4,111.28,21.82
gongpin,R1,R,12,31.6,3.8,9.8,10,235,28.6,4.4,115.41,23.06
guishi,R1,R,20,25,5,7.5,15,219.5,28.5,4.4,111.31,24.74
hedi,R1,R,7,122,7.95,9.84,10,189,29,4.4,110.31,21.71
hedi,R1,R,7,122,7.95,20.33,20,163,28,4.4,110.31,21.71
hedi,R1,R,7,122,7.95,7.87,10,26,18.5,4.4,110.31,21.71
helong,R1,R,12.5,1.44,0.18,34,40,164.9,29.6,4.4,113.38,23.29
helong,R1,R,12.5,1.44,0.18,28.3,50,19,19.2,4.4,113.38,23.29
heshui,R1,R,7,5.7,0.4,11.23,20,142,29.5,4.4,115.7,24.25
yitang,R1,R,20,8,1.6,2.63,24,150,28.5,4.4,115.6,23.95
hongxiuquan,R1,R,4.5,0.89,0.04,70,70,164.9,29.6,4.4,113.21,23.46
hongxiuquan,R1,R,4.5,0.89,0.04,173,260,19,19.2,4.4,113.21,23.46
jiukenghe,R1,R,30,1,0.3,7.7,23,269,26.5,4.4,112.56,23.23
jiukenghe,R1,R,30,1,0.3,8.3,10,242,29.5,4.4,112.56,23.23
jiukenghe,R1,R,30,1,0.3,8.4,9,39,20.5,4.4,112.56,23.23
liuxihe,R1,R,25,13,3.25,3.33,22,170.6,23.6,4.4,113.77,23.75
liuxihe,R1,R,25,13,3.25,2.89,7,638.8,25.3,4.4,113.77,23.75
liuxihe,R1,R,25,13,3.25,3.33,11,288.3,27.8,4.4,113.77,23.75
liuxihe,R1,R,25,13,3.25,2,7,264.3,29.8,4.4,113.77,23.75
liuxihe,R1,R,25,13,3.25,2.67,5,223.4,29.4,4.4,113.77,23.75
liuxihe,R1,R,25,13,3.25,2.89,9,159.5,27,4.4,113.77,23.75
liuxihe,R1,R,25,13,3.25,2,13,86,26.4,4.4,113.77,23.75
liuxihe,R1,R,25,13,3.25,2,24,101.6,21.9,4.4,113.77,23.75
meizhou,R1,R,15.6,5,0.78,1.5,10,252,29,4.4,113.99,23.61
meizhou,R1,R,15.6,5,0.78,3.7,10,45,19,4.4,113.99,23.61
meizhouchangtan,R1,R,16,10,1.6,11,80,211,26,4.4,116.13,24.7
nanshui,R1,R,30,42,12.5,1.61,17,224,21,4.4,113.21,24.45
nanshui,R1,R,30,42,12.5,1.01,16,150,30,4.4,113.21,24.45
nanshui,R1,R,30,42,12.5,1.91,12,57,23,4.4,113.21,24.45
tanlin,R1,R,18,10,1.77,3.86,14,200,29,4.4,112.68,24.96
xiaoken,R1,R,28,4,1.13,5.93,13,200,29,4.4,113.84,24.71
renhuajinjiang,R1,R,17,11.13,1.89,10.88,32,200,29,4.4,112.12,22.23
qingshitan,R1,R,20,30,6,27,20,58.6,22.7,4.4,110.23,25.53
sankeng,R1,R,9.4,2.45,0.23,44.1,30,164.9,29.6,4.4,113.07,23.46
sankeng,R1,R,9.4,2.45,0.23,17,20,19,19.2,4.4,113.07,23.46
xijin,R1,R,11.8,190,22,3.12,50,5.1,25.6,4.4,109.24,22.65
xinfengjiang,R1,R,28.7,370,106.2,0.76,10,222,22.5,4.4,114.65,23.73
xinfengjiang,R1,R,28.7,370,106.2,0.89,14,227,29,4.4,114.65,23.73
xinfengjiang,R1,R,28.7,370,106.2,1.18,32,222,22.5,4.4,114.65,23.73
xinfengjiang,R1,R,28.7,370,106.2,0.74,9,387,27.5,4.4,114.65,23.73
xinfengjiang,R1,R,28.7,370,106.2,1.24,8,227,29,4.4,114.65,23.73
donghushuiku ,R1,R,8,16,1.23,8.64,14,400,25,4.4,112.22,22
daheshuiku,R1,R,33,10,3.3,3.86,50,400,25,4.4,111.77,22.3
yantan,R1,R,25,106,26,6,47,90.3,20.8,4.4,107.52,24.05
yantan,R1,R,25,106,26,2.2,42,107,22.6,4.4,107.52,24.05
yantan,R1,R,25,106,26,3.7,52,360.2,26.4,4.4,107.52,24.05
yantan,R1,R,25,106,26,7.8,47,52.4,28.1,4.4,107.52,24.05
yantan,R1,R,25,106,26,6.5,30,49.6,23,4.4,107.52,24.05
songhuaba,R2,R,50,4,2,7,22,184.7,19.6,5.22,102.8,25.16
songhuaba,R2,R,50,4,2,4,10,224.7,20,5.22,102.8,25.16
songhuaba,R2,R,50,4,2,22,40,169,21,5.22,102.8,25.16
songhuaba,R2,R,50,4,2,34,28,190,18.8,5.22,102.8,25.16
yudong,R2,R,44,8,3.53,185,53,133,18.6,5.22,103.55,27.44
yudong,R2,R,44,8,3.53,123,93,155,20.5,5.22,103.55,27.44
yudong,R2,R,44,8,3.53,92,60,119,20,5.22,103.55,27.44
aha,R3,R,12,4.5,0.542,5.07,19,186.2,21.1,4.17,106.66,26.54
aha,R3,R,12,4.5,0.542,11.73,27,55.6,20.5,4.17,106.66,26.54
baihuahu,R3,R,12.4,14.5,1.8,38.24,32,90.5,18.6,4.17,106.52,26.66
baihuahu,R3,R,12.4,14.5,1.8,14.22,26,117.6,21.5,4.17,106.52,26.66
baihuahu,R3,R,12.4,14.5,1.8,13.24,32,150.8,22.7,4.17,106.52,26.66
baihuahu,R3,R,12.4,14.5,1.8,19.12,47,105.5,23.6,4.17,106.52,26.66
hongfenghu,R3,R,7.7,57.2,4.42,3.75,3,95,18.4,4.17,106.42,26.55
hongfenghu,R3,R,7.7,57.2,4.42,6.25,17,189.9,19.5,4.17,106.42,26.55
hongfenghu,R3,R,7.7,57.2,4.42,12.5,30,140.3,23.6,4.17,106.42,26.55
hongfenghu,R3,R,7.7,57.2,4.42,8.75,10,144.1,23.1,4.17,106.42,26.55
hongfenghu,R3,R,7.7,57.2,4.42,15,13,156.7,20.2,4.17,106.42,26.55
hongfenghu,R3,R,7.7,57.2,4.42,23.75,19,186.2,21.1,4.17,106.65,26.54
hongfenghu,R3,R,7.7,57.2,4.42,19.38,27,55.6,20.5,4.17,106.65,26.54
sanbanxi,R3,R,52,79.56,41,46.87,20,179,27,4.17,109.18,26.66
silin,R3,R,30,38.61,12,1.9,60,175.7,30.6,4.17,108.15,27.8
wanfenghu,R3,R,13,816,102,21.92,32,163,20,4.17,105.04,24.87
wanfenghu,R3,R,13,816,102,30.03,32,225,21.8,4.17,105.04,24.87
wujiangdu,R3,R,42,47.8,20,17.9,68,131,24.4,4.17,106.75,27.32
xingxihu,R3,R,10,2,0.2,2.89,120,163,20,4.17,104.84,25.12
xingxihu,R3,R,10,2,0.2,3.28,45,225,21.8,4.17,104.84,25.12
xingxihu,R3,R,10,2,0.2,4.25,13,163,23.7,4.17,104.84,25.12
hanfenghu,R4,R,5.3,15,0.8,17.56,115,148.1,24.5,3.3,108.47,31.18
hanfenghu,R4,R,5.3,15,0.8,7.9,20,278.2,23.2,3.3,108.47,31.18
hanfenghu,R4,R,5.3,15,0.8,40.59,70,241.6,27.9,3.3,108.47,31.18
hanfenghu,R4,R,5.3,15,0.8,31.65,60,194.5,23.4,3.3,108.47,31.18
liangcha,R4,R,17,2.15,0.366,19.12,49,130,26,3.3,106.8,29.95
nanpeng ,R4,R,8.6,1.55,0.133,4.8,26,130,26,3.3,106.69,29.32
shengtian,R4,R,21.4,0.5,0.107,4.62,12,130,26,3.3,106.66,30.04
shengzhong,R4,R,23,56,13,9.93,72,9.3,18.8,3.3,105.66,31.54
shengzhong,R4,R,23,56,13,10.7,67,66.5,22.7,3.3,105.66,31.54
shengzhong,R4,R,23,56,13,4.79,60,91.4,25.6,3.3,105.66,31.54
shengzhong,R4,R,23,56,13,6.7,63,206.1,30.4,3.3,105.66,31.54
shengzhong,R4,R,23,56,13,4.75,60,51.5,31.6,3.3,105.66,31.54
shengzhong,R4,R,23,56,13,11.5,44,65.1,23.3,3.3,105.66,31.54
shengzhong,R4,R,23,56,13,41.2,46,46.1,19.9,3.3,105.66,31.54
xiajiankou,R4,R,4.9,2.33,0.113,5.37,84,130,26,3.3,106.96,29.22
xinqiao,R4,R,18.4,2,0.368,36.4,62,130,26,3.3,106.71,29.81
yinlonghu,R4,R,20,0.85,0.17,23,50,92.6,24.6,3.3,106.73,29.51
yinlonghu,R4,R,20,0.85,0.17,16,63,74.8,29.8,3.3,106.73,29.51
yinlonghu,R4,R,20,0.85,0.17,21,116,254.4,23.8,3.3,106.73,29.51
yinlonghu,R4,R,20,0.85,0.17,48.2,61,93.5,21.9,3.3,106.73,29.51
daxi,R5,R,10,10,0.01,17.89,93,106.9,26.5,3.21,121.35,29.57
daxi,R5,R,10,10,0.01,16.84,46,216.7,28.4,3.21,121.35,29.57
dongjianghu,R5,R,56.9,160,91,2.08,15,454,27.7,3.21,113.26,25.93
jingshuitan,R5,R,30.3,34.3,10.4,1.5,52,280.8,22.4,3.21,119.45,28.14
jingshuitan,R5,R,30.3,34.3,10.4,1.7,32,184.9,28.9,3.21,119.45,28.14
jingshuitan,R5,R,30.3,34.3,10.4,1.5,25,108.8,26.5,3.21,119.45,28.14
jiufeng,R5,R,18,5,0.9,2.63,32,265.6,29,3.21,119.42,28.99
jiufeng,R5,R,18,5,0.9,3.29,29,71.2,19.2,3.21,119.42,28.99
laohutan,R5,R,13,5.38,0.72,5.24,16,397.5,24,3.21,119.96,30.67
laohutan,R5,R,13,5.38,0.72,2.62,27,119.6,29.6,3.21,119.96,30.67
laohutan,R5,R,13,5.38,0.72,4.76,19,168,27.7,3.21,119.96,30.67
laohutan,R5,R,13,5.38,0.72,8.33,74,169.2,25.2,3.21,119.96,30.67
liuduzhai,R5,R,25,4,1,5.89,20,99,23.4,3.21,110.93,27.39
ningbohengshan,R5,R,9,10.7,1,109.52,35,46.5,21.3,3.21,121.35,29.57
ningbohengshan,R5,R,9,10.7,1,9.54,43,497.9,25,3.21,121.35,29.57
ningbohengshan,R5,R,9,10.7,1,14.05,27,150.7,29.8,3.21,121.35,29.57
ningbohengshan,R5,R,9,10.7,1,10.18,27,209.1,28.7,3.21,121.35,29.57
ningbohengshan,R5,R,9,10.7,1,9.28,32,75.1,24.4,3.21,121.35,29.57
ningbohengshan,R5,R,9,10.7,1,5.86,22,23.7,19.1,3.21,121.35,29.57
qingshan,R5,R,4.7,17.03,0.8,48.42,78,227.7,29.6,3.21,119.79,30.24
qingshan,R5,R,4.7,17.03,0.8,67.37,132,18,20.6,3.21,119.79,30.24
sanxia,R5,R,36.4,1080,393,6.32,40,153,26,3.21,111,30.83
sanxia,R5,R,36.4,1080,393,2.03,39,218,28.5,3.21,111,30.83
sanxia,R5,R,36.4,1080,393,1.41,29,182,28,3.21,111,30.83
sanxia,R5,R,36.4,1080,393,0.7,40,113,24,3.21,111,30.83
sanxia,R5,R,36.4,1080,393,0.85,80,80,19,3.21,111,30.83
sanxia,R5,R,36.4,1080,393,0.82,60,131,22.5,3.21,111,30.83
shahe,R5,R,7,12,0.84,47.87,42,82.6,21.9,3.21,119.42,31.28
shahe,R5,R,7,12,0.84,31.38,52,77.4,25.2,3.21,119.42,31.28
shahe,R5,R,7,12,0.84,19.68,26,240.5,29.5,3.21,119.42,31.28
shahe,R5,R,7,12,0.84,26.6,41,381.3,28.4,3.21,119.42,31.28
shahe,R5,R,7,12,0.84,31.91,33,40.5,22.9,3.21,119.42,31.28
shahe,R5,R,7,12,0.84,12.77,45,23.4,18.8,3.21,119.42,31.28
shiziling,R5,R,20,1,0.2,69.56,50,182,28,3.21,111.77,30.59
tangpu,R5,R,17,14,2.35,3.76,32,140.1,24.7,3.21,120.79,29.84
tingxia,R5,R,13,8,1.04,7.8,18,63.3,22,3.21,121.22,29.66
tingxia,R5,R,13,8,1.04,2.7,33,133.5,26.1,3.21,121.22,29.66
tingxia,R5,R,13,8,1.04,3.1,30,163.9,29,3.21,121.22,29.66
tingxia,R5,R,13,8,1.04,8.3,38,301.8,28.5,3.21,121.22,29.66
tingxia,R5,R,13,8,1.04,8.2,42,117.1,25.7,3.21,121.22,29.66
tingxia,R5,R,13,8,1.04,4.5,31,69.6,20.6,3.21,121.22,29.66
wanan,R5,R,10.4,107.5,11.16,4.5,30,116.3,29.5,3.21,114.8,26.45
wanan,R5,R,10.4,107.5,11.16,5.24,20,65,25.5,3.21,114.8,26.45
xinanjiang,R5,R,31.4,567.4,178.4,4.29,60,65.1,21.6,3.21,119.21,29.48
xinanjiang,R5,R,31.4,567.4,178.4,2.86,73,256.5,28.8,3.21,119.21,29.48
xinanjiang,R5,R,31.4,567.4,178.4,5,23,212.9,25.8,3.21,119.21,29.48
xionghe,R5,R,5.8,20,1.16,15.6,116,96,22,3.21,112.66,31.91
xionghe,R5,R,5.8,20,1.16,21.05,123,110,26,3.21,112.66,31.91
xionghe,R5,R,5.8,20,1.16,73.68,137,174,28,3.21,112.66,31.91
xionghe,R5,R,5.8,20,1.16,93.68,39,126,27.5,3.21,112.66,31.91
xionghe,R5,R,5.8,20,1.16,35.79,39,75,27.5,3.21,112.66,31.91
yinghu,R5,R,34,77.5,26,0.4,24,131.3,21.1,3.21,108.9,32.61
yinghu,R5,R,34,77.5,26,42,31,67.1,25.9,3.21,108.9,32.61
yinghu,R5,R,34,77.5,26,14.6,32,145,27.4,3.21,108.9,32.61
yinghu,R5,R,34,77.5,26,8.1,33,175.7,26.6,3.21,108.9,32.61
yinghu,R5,R,34,77.5,26,9,35,148.4,21.3,3.21,108.9,32.61
zhejiangchangtan,R5,R,16.3,45,7.32,3.23,20,173.8,20.7,3.21,121.05,28.59
zhejiangchangtan,R5,R,16.3,45,7.32,4,20,153.6,18.5,3.21,121.05,28.59
zhejiangchangtan,R5,R,16.3,45,7.32,1.23,22,173.5,24.1,3.21,121.05,28.59
zhejiangchangtan,R5,R,16.3,45,7.32,5.85,21,233.2,25.7,3.21,121.05,28.59
zhejiangchangtan,R5,R,16.3,45,7.32,4.54,13,290,30.5,3.21,121.05,28.59
zhejiangchangtan,R5,R,16.3,45,7.32,2.77,12,91,26.8,3.21,121.05,28.59
gaogezhuang,R6,R,6.7,1.8,0.12,2.51,234,152.6,22.1,2.89,120.56,37
guanting,R6,R,9.1,253,23,65.45,47,49.7,25.8,2.89,115.6,40.23
guanting,R6,R,9.1,253,23,40,40,9.2,21.2,2.89,115.6,40.23
guanting,R6,R,9.1,253,23,50.91,40,103.4,23.5,2.89,115.6,40.23
guanting,R6,R,9.1,253,23,127.27,51,74.3,25.6,2.89,115.6,40.23
guanting,R6,R,9.1,253,23,127.27,51,74.3,25.6,2.89,115.6,40.23
heihe,R6,R,30,4.55,1.5,0.71,85,150.1,24.9,2.89,108.03,33.88
heihe,R6,R,30,4.55,1.5,2.46,30,72,21.5,2.89,108.03,33.88
huairou,R6,R,6,6.67,0.4,1.36,20,196.6,27,2.89,116.61,40.31
huangshan,R6,R,12,1,0.12,0.25,40,152.6,22.1,2.89,120.05,36.88
jihongtan,R6,R,10.1,14.42,1.46,3.25,16,258.6,23.8,2.89,120.22,36.37
jihongtan,R6,R,10.1,14.42,1.46,3,16,33,18.3,2.89,120.22,36.37
jilihe,R6,R,24.5,2.61,0.64,0.25,51,152.6,22.1,2.89,119.65,35.82
jinhai,R6,R,5.6,2.27,0.126,5.4,16,65.8,20.6,2.89,111.75,40.59
jinhai,R6,R,5.6,2.27,0.126,3.05,25,225.8,23.7,2.89,111.75,40.59
jinhai,R6,R,5.6,2.27,0.126,2.58,29,45.7,21.6,2.89,111.75,40.59
laoshan,R6,R,25,2,0.5,0.25,65,152.6,22.1,2.89,120.52,36.26
miyun,R6,R,7.2,188,13.5,2.53,19,5,23.5,2.89,116.98,40.45
miyun,R6,R,7.2,188,13.5,5.64,25,9.2,21.2,2.89,116.98,40.45
miyun,R6,R,7.2,188,13.5,4.15,14,45.8,25.7,2.89,116.98,40.45
miyun,R6,R,7.2,188,13.5,4.46,16,49.7,25.8,2.89,116.98,40.45
nanwan,R6,R,16.7,77.65,13,4.25,21,213,28,2.89,114,32.12
pohe,R6,R,17,11.8,2,10.83,51,120,21,2.89,114.91,31.79
pohe,R6,R,17,11.8,2,17.92,37,148,25.5,2.89,114.91,31.79
pohe,R6,R,17,11.8,2,20.83,39,213,28,2.89,114.91,31.79
pohe,R6,R,17,11.8,2,23.75,35,164,27,2.89,114.91,31.79
pohe,R6,R,17,11.8,2,32.92,28,92,22.5,2.89,114.91,31.79
shanzhou,R6,R,26.1,0.92,0.24,0.25,94,152.6,22.1,2.89,119.89,36.09
shipeng,R6,R,7,1.5,0.1,4.02,60,148.5,25,2.89,120.47,36.37
shuangmiao,R6,R,12.1,0.58,0.07,0.25,94,152.6,22.1,2.89,119.96,36.85
shuyuan,R6,R,34.2,0.38,0.13,0.25,40,152.6,22.1,2.89,120.55,36.32
tieshan,R6,R,42.5,1.06,0.45,3.98,285,152.6,22.1,2.89,119.91,35.94
tuanpowa,R6,R,14.5,6.7,0.97,18.44,40,62.3,27.7,2.89,117.08,38.87
xiaolangdi,R6,R,18.4,277.8,51,6.05,29,53,21,2.89,112.38,34.92
xiaolangdi,R6,R,18.4,277.8,51,6.58,30,67,25.5,2.89,112.38,34.92
xiaolangdi,R6,R,18.4,277.8,51,6.32,30,149,26.5,2.89,112.38,34.92
xiaolangdi,R6,R,18.4,277.8,51,13.68,29,94,25.5,2.89,112.38,34.92
xiaolangdi,R6,R,18.4,277.8,51,2.11,20,92,20.5,2.89,112.38,34.92
xiaolangdi,R6,R,18.4,277.8,51,2.11,29,53,21,2.89,112.38,34.92
xiaozhushan,R6,R,20.7,1.5,0.31,0.25,65,152.6,22.1,2.89,120.06,36.02
xiashan,R6,R,14,100,14,13.83,34,26.8,18.3,2.89,119.45,36.44
xiashan,R6,R,14,100,14,22.41,44,96.8,26.2,2.89,119.45,36.44
yanghe,R6,R,5.8,61,3.53,1.82,39,40,19.5,2.89,119.21,40
yanghe,R6,R,5.8,61,3.53,3.64,32,80,23.5,2.89,119.21,40
yanghe,R6,R,5.8,61,3.53,21.82,71,194,26,2.89,119.21,40
yanghe,R6,R,5.8,61,3.53,96.36,76,166,25.5,2.89,119.21,40
yanghe,R6,R,5.8,61,3.53,40,106,49,20.5,2.89,119.21,40
yuqiao,R6,R,4.6,87.8,4.03,9.29,470,3.8,21.5,2.89,117.45,40.04
yuqiao,R6,R,4.6,87.8,4.03,10,300,62.3,27.7,2.89,117.45,40.04
zhangze,R6,R,17.8,24,4.27,20.49,120,116,21.5,2.89,112.93,36.23
chaihe,R7,R,24,17,4,3,250,25.4,19.7,2.835,122.08,42.71
chaihe,R7,R,24,17,4,15,50,86,20.9,2.835,124,42.25
chaihe,R7,R,24,17,4,17,60,127.9,25.2,2.835,124,42.25
chaihe,R7,R,24,17,4,6,80,110.4,22.3,2.835,124,42.25
chaihe,R7,R,24,17,4,10,90,1,18.7,2.835,124,42.25
erlongshan,R7,R,9,9.8,0.91,16.21,30,49.4,23.5,2.835,118.32,40.22
erlongshan,R7,R,9,9.8,0.91,12.56,15,84.8,24.9,2.835,118.32,40.22
erlongshan,R7,R,9,9.8,0.91,37.24,50,157.9,23.2,2.835,118.32,40.22
kulipao,R7,R,20,10,2,28.12,95,146.2,23.9,2.835,124.49,45.38
naodehai,R7,R,18,11.1,2,2.91,10,192.2,18.8,2.835,122.08,42.71
naodehai,R7,R,18,11.1,2,3.44,80,100.2,21.4,2.835,122.08,42.71
naodehai,R7,R,18,11.1,2,2.59,190,82,24,2.835,122.08,42.71
naodehai,R7,R,18,11.1,2,3.11,130,40.1,23.5,2.835,122.08,42.71
songhuahu,R7,R,19.6,550,108,1.87,21,156,23,2.835,126.92,43.62
taoshan,R7,R,8.3,26,2.16,73.2,190,121.2,20.5,2.835,131.05,45.78
xinlicheng,R7,R,17.2,34.3,5.9,3.54,48,28.5,18.2,2.835,125.37,43.67
xinlicheng,R7,R,17.2,34.3,5.9,4.81,61,125.2,19,2.835,125.37,43.67
xinlicheng,R7,R,17.2,34.3,5.9,8.1,94,123.2,22.3,2.835,125.37,43.67
xinlicheng,R7,R,17.2,34.3,5.9,10.76,83,64.5,23,2.835,125.37,43.67
xiquanyan,R7,R,19,25,4.78,7.3,30,57.8,22,2.835,127.34,45.21
yinnahe,R7,R,23,8.7,2,22.5,174,44.1,24.8,2.835,123.11,39.96
yueliangpao,R7,R,4.7,205.7,9.67,15.12,120,80.8,20.9,2.835,123.89,45.72
